rectype,issueid,project_owner,project_name,actor,time,text,action,title,provenance,paths,plus_1,urls,issues,userref,code
pull_request_commit,9,eneim,Toro,eneim,2016-02-04 05:39:15+00:00,Change object map to prevent memory leak,cb01dab77538e979d33e299bdd1183121a347a52,,api.github.com,,false,[],[],[],[]
pull_request_commit,9,eneim,Toro,eneim,2016-02-04 06:56:48+00:00,Fix an API issue,5ce1da94bedb8d211a6585dfb8eddf3c2e341194,,api.github.com,,false,[],[],[],[]
pull_request_commit,9,eneim,Toro,eneim,2016-02-04 09:20:37+00:00,Fix some unexpected issues,82979db312660947a1007af3dbc6e2d237a7a319,,api.github.com,,false,[],[],[],[]
pull_request_commit,9,eneim,Toro,eneim,2016-02-04 09:36:36+00:00,Assertion added,a3337f12149caa9f3c0a102bdbf2f0f9c5ce82c4,,api.github.com,,false,[],[],[],[]
issue_title,9,eneim,Toro,eneim,2016-02-04 09:50:15+00:00,,start issue,Fix map,api.github.com,,false,[],[],[],[]
pull_request_title,9,eneim,Toro,eneim,2016-02-04 09:50:15+00:00,,a3337f12149caa9f3c0a102bdbf2f0f9c5ce82c4,Fix map,api.github.com,,false,[],[],[],[]
issue_closed,9,eneim,Toro,eneim,2016-02-04 09:50:19+00:00,,closed issue,Fix map,api.github.com,,false,[],[],[],[]
pull_request_merged,9,eneim,Toro,eneim,2016-02-04 09:50:19+00:00,Fix map,a90b35e3b103683ba78d98948e0002f6e707c638,Pull request merge from eneim/Toro:fix-map to eneim/Toro:master,api.github.com,,false,[],[],[],[]
