rectype,issueid,project_owner,project_name,actor,time,text,action,title,provenance,paths,plus_1,urls,issues,userref,code
pull_request_commit,7,eneim,Toro,eneim,2016-02-03 06:16:13+00:00,Fix an issue for one video player,98874445ced8684224a0fdeed094c998f9bee2ef,,api.github.com,,false,[],[],[],[]
pull_request_commit,7,eneim,Toro,eneim,2016-02-03 06:37:53+00:00,"Fix issue, add API",4c5e498f65ea19fead6fb72e79f9b2c4ca277a25,,api.github.com,,false,[],[],[],[]
pull_request_commit,7,eneim,Toro,eneim,2016-02-03 06:39:33+00:00,minor fix,e3faf2bed1dc0d66f9b39a94d7b0d628c31b30fd,,api.github.com,,false,[],[],[],[]
issue_title,7,eneim,Toro,eneim,2016-02-03 06:39:49+00:00,,start issue,Feature/one video,api.github.com,,false,[],[],[],[]
pull_request_title,7,eneim,Toro,eneim,2016-02-03 06:39:49+00:00,,e3faf2bed1dc0d66f9b39a94d7b0d628c31b30fd,Feature/one video,api.github.com,,false,[],[],[],[]
issue_closed,7,eneim,Toro,eneim,2016-02-03 06:39:54+00:00,,closed issue,Feature/one video,api.github.com,,false,[],[],[],[]
pull_request_merged,7,eneim,Toro,eneim,2016-02-03 06:39:54+00:00,Feature/one video,383f675eb041d38b51a39ef394bf906202a98500,Pull request merge from eneim/Toro:feature/one-video to eneim/Toro:master,api.github.com,,false,[],[],[],[]
