rectype,issueid,project_owner,project_name,actor,time,text,action,title,provenance,paths,plus_1,urls,issues,userref,code
pull_request_commit,29,eneim,Toro,eneim,2016-03-21 10:56:36+00:00,Improve sample for next release,ad344fbf7ecd014044a226fe8b3b80de4f679430,,api.github.com,,false,[],[],[],[]
pull_request_commit,29,eneim,Toro,eneim,2016-03-21 11:03:16+00:00,remove greedo layout. wait for better implementation,bca0677a16a91cf84b5ee18ad30f4b28657d6d48,,api.github.com,,false,[],[],[],[]
pull_request_commit,29,eneim,Toro,eneim,2016-03-21 11:42:13+00:00,Minor improvement by comments,dbd97c0e03df3f28bac464e97dcd425fb455e580,,api.github.com,,false,[],[],[],[]
issue_title,29,eneim,Toro,eneim,2016-03-21 12:47:40+00:00,,start issue,Feature/fix sample app,api.github.com,,false,[],[],[],[]
pull_request_title,29,eneim,Toro,eneim,2016-03-21 12:47:40+00:00,,dbd97c0e03df3f28bac464e97dcd425fb455e580,Feature/fix sample app,api.github.com,,false,[],[],[],[]
issue_closed,29,eneim,Toro,eneim,2016-03-21 12:47:44+00:00,,closed issue,Feature/fix sample app,api.github.com,,false,[],[],[],[]
pull_request_merged,29,eneim,Toro,eneim,2016-03-21 12:47:44+00:00,Feature/fix sample app,9ab3dfd2797bfbf300e395d69ff47f6ae5c2fbde,Pull request merge from eneim/Toro:feature/fix-sample-app to eneim/Toro:develop,api.github.com,,false,[],[],[],[]
